Frequency,s11-magnitude (db),s11-phase (°),s11-resistance (ω),s11-reactance (ω),s11-impedance (ω),s11-conductance (s),s11-vswr,s11-magnitude,s11-s-real,s11-s-imaginary,s12-magnitude (db),s12-phase (°),s12-resistance (ω),s12-reactance (ω),s12-impedance (ω),s12-conductance (s),s12-magnitude,s12-s-real,s12-s-imaginary,s21-magnitude (db),s21-phase (°),s21-resistance (ω),s21-reactance (ω),s21-impedance (ω),s21-conductance (s),s21-magnitude,s21-s-real,s21-s-imaginary,s22-magnitude (db),s22-phase (°),s22-resistance (ω),s22-reactance (ω),s22-impedance (ω),s22-conductance (s),s22-vswr,s22-magnitude,s22-s-real,s22-s-imaginary,Reference-Impedance,Original-Title
500000,0,0,50,0,50,"0,02",1,0,0,0,"-0,635481814582428","-24,9286316504939","84,2856161167007","-39,1752864455302","92,9449737869734","-0,03371424644668","0,929449737869734","0,842856161167006","-0,391752864455302",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,50,Live Meas
504369,0,0,50,0,50,"0,02",1,0,0,0,"-0,640642333686698","-25,1452803452809","84,0869099130401","-39,4702518856859","92,8897690956502","-0,033634763965216","0,928897690956502","0,840869099130401","-0,394702518856859",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
508776,0,0,50,0,50,"0,02",1,0,0,0,"-0,647195226319055","-25,3831891398294","83,8590038997679","-39,7890346509837","92,8197167282818","-0,033543601559907","0,928197167282818","0,838590038997679","-0,397890346509837",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
513221,0,0,50,0,50,"0,02",1,0,0,0,"-0,680953749062412","-25,2951154355788","83,5945373713851","-39,5062381734835","92,4596643567124","-0,033437814948554","0,924596643567124","0,835945373713851","-0,395062381734835",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
517705,0,0,50,0,50,"0,02",1,0,0,0,"-0,689765071250863","-25,6653782395815","83,2529941820327","-40,0050195761844","92,3659170450035","-0,033301197672813","0,923659170450035","0,832529941820327","-0,400050195761844",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
522229,0,0,50,0,50,"0,02",1,0,0,0,"-0,710201024778264","-25,8635800940243","82,9187889442169","-40,1980861940509","92,1488561710884","-0,033167515577687","0,921488561710884","0,829187889442169","-0,401980861940509",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
526792,0,0,50,0,50,"0,02",1,0,0,0,"-0,736899677649272","-25,9291890503772","82,6183613842625","-40,1693471482159","91,8660442608393","-0,033047344553705","0,918660442608393","0,826183613842625","-0,40169347148216",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
531395,0,0,50,0,50,"0,02",1,0,0,0,"-0,749449147312081","-26,1997217506008","82,3087675020244","-40,500438140457","91,7334110194933","-0,03292350700081","0,917334110194933","0,823087675020244","-0,40500438140457",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
536038,0,0,50,0,50,"0,02",1,0,0,0,"-0,781130206226311","-26,417352740172","81,8552328724696","-40,6641948976837","91,3994304975859","-0,032742093148988","0,913994304975859","0,818552328724696","-0,406641948976836",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
540721,0,0,50,0,50,"0,02",1,0,0,0,"-0,813531575450249","-26,6440870188212","81,3894956618735","-40,8351842479057","91,0591141877327","-0,032555798264749","0,910591141877327","0,813894956618735","-0,408351842479057",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
545446,0,0,50,0,50,"0,02",1,0,0,0,"-0,791886140421046","-26,8619928735428","81,4362925268879","-41,2470873564299","91,2863185582254","-0,032574517010755","0,912863185582254","0,814362925268879","-0,412470873564299",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
550212,0,0,50,0,50,"0,02",1,0,0,0,"-0,817761322767871","-26,7616202729871","81,2659739995545","-40,9820941116593","91,014782139349","-0,032506389599822","0,91014782139349","0,812659739995545","-0,409820941116593",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
555019,0,0,50,0,50,"0,02",1,0,0,0,"-0,821641103702332","-27,0927633550154","80,9915754267983","-41,4325756621422","90,9741370726532","-0,032396630170719","0,909741370726532","0,809915754267983","-0,414325756621423",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
559868,0,0,50,0,50,"0,02",1,0,0,0,"-0,830563278670749","-27,3079824340503","80,7523802595759","-41,6936599360029","90,88073611303","-0,03230095210383","0,9088073611303","0,807523802595759","-0,416936599360029",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
564760,0,0,50,0,50,"0,02",1,0,0,0,"-0,87472197055796","-27,5083142076818","80,1973491233273","-41,7628897102558","90,4198748249512","-0,032078939649331","0,904198748249512","0,801973491233273","-0,417628897102558",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
569695,0,0,50,0,50,"0,02",1,0,0,0,"-0,892012462324385","-27,6159295618922","79,9594377849301","-41,8300943533475","90,2400603085573","-0,031983775113972","0,902400603085573","0,799594377849301","-0,418300943533475",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
